system:time_start,LST_Day_1km
"Jun 16, 2018","14,924.128"
"Jun 17, 2018","14,637"
"Jun 18, 2018","14,863.783"
"Jun 19, 2018","14,972.829"
"Jun 20, 2018",
"Jun 21, 2018","14,900.352"
"Jun 22, 2018","14,817.479"
"Jun 23, 2018","14,903.913"
"Jun 24, 2018",
"Jun 25, 2018","14,913.304"
"Jun 26, 2018",
"Jun 27, 2018",
"Jun 28, 2018","14,844.562"
"Jun 29, 2018",
"Jun 30, 2018","14,852.347"
"Jul 1, 2018","14,732.393"
"Jul 2, 2018","14,897.783"
"Jul 3, 2018","14,710.874"
"Jul 4, 2018",
"Jul 5, 2018",
"Jul 6, 2018","14,557"
"Jul 7, 2018",
"Jul 8, 2018",
"Jul 9, 2018","14,786.607"
"Jul 10, 2018",
"Jul 11, 2018","14,803.653"
"Jul 12, 2018",
"Jul 13, 2018",
"Jul 14, 2018","14,945.566"
"Jul 15, 2018",
"Jul 16, 2018","14,574"
"Jul 17, 2018",
"Jul 18, 2018",
"Jul 19, 2018","14,483"
"Jul 20, 2018","14,625.822"
"Jul 21, 2018","14,608"
"Jul 22, 2018","14,725.696"
"Jul 23, 2018","14,734"
"Jul 24, 2018",
"Jul 25, 2018",
"Jul 26, 2018",
"Jul 27, 2018","14,570.436"
"Jul 28, 2018","14,832.523"
"Jul 29, 2018","14,876.093"
"Jul 30, 2018","14,892.39"
"Jul 31, 2018","14,813.87"
"Aug 1, 2018","14,892.785"
"Aug 2, 2018",
"Aug 3, 2018","14,899.655"
"Aug 4, 2018","14,753.696"
"Aug 5, 2018","14,942.783"
"Aug 6, 2018",
"Aug 7, 2018","14,900.434"
"Aug 8, 2018",
"Aug 9, 2018",
"Aug 10, 2018","14,990.829"
"Aug 11, 2018",
"Aug 12, 2018","15,036.137"
"Aug 13, 2018","15,006"
"Aug 14, 2018","15,050.87"
"Aug 15, 2018","14,820.87"
"Aug 16, 2018","14,933"
"Aug 17, 2018","15,043.915"
"Aug 18, 2018",
"Aug 19, 2018","15,001.263"
"Aug 20, 2018","14,938.527"
"Aug 21, 2018","15,037.915"
"Aug 22, 2018","15,082.215"
"Aug 23, 2018","15,088.696"
"Aug 24, 2018","15,192.263"
"Aug 25, 2018",
"Aug 26, 2018","15,087.395"
"Aug 27, 2018",
"Aug 28, 2018","14,807.685"
"Aug 29, 2018",
"Aug 30, 2018","14,836.559"
"Aug 31, 2018","14,932.865"
"Sep 1, 2018","15,018.349"
"Sep 2, 2018","15,089.263"
"Sep 3, 2018",
"Sep 4, 2018","15,137.694"
"Sep 5, 2018","15,133.788"
"Sep 6, 2018","15,222.271"
"Sep 7, 2018","15,044.601"
"Sep 8, 2018","15,098.471"
"Sep 9, 2018",
"Sep 10, 2018","14,829"
"Sep 11, 2018","15,019.872"
"Sep 12, 2018",
"Sep 13, 2018","15,042.788"
"Sep 14, 2018","15,069.052"
"Sep 15, 2018","15,082.263"
"Sep 16, 2018","15,097"
"Sep 17, 2018",
"Sep 18, 2018","15,201.31"
"Sep 19, 2018","15,045.091"
"Sep 20, 2018","15,317.176"
"Sep 21, 2018",
"Sep 22, 2018","14,863"
"Sep 23, 2018",
"Sep 24, 2018","15,196.612"
"Sep 25, 2018","15,139.135"
"Sep 26, 2018","15,148.61"
"Sep 27, 2018","15,355.276"
"Sep 28, 2018",
"Sep 29, 2018","15,271.879"
"Sep 30, 2018",
"Oct 1, 2018",
"Oct 2, 2018","15,147.909"
"Oct 3, 2018","15,195.961"
"Oct 4, 2018",
"Oct 5, 2018","14,912"
"Oct 6, 2018","15,148.87"
"Oct 7, 2018","14,765"
"Oct 8, 2018",
"Oct 9, 2018",
"Oct 10, 2018","14,955"
"Oct 11, 2018","15,307.126"
"Oct 12, 2018","15,044"
"Oct 13, 2018","14,930"
"Oct 14, 2018",
"Oct 15, 2018","15,161"
"Oct 16, 2018",
"Oct 17, 2018",
"Oct 18, 2018",
"Oct 19, 2018",
"Oct 20, 2018","15,093.831"
"Oct 21, 2018",
"Oct 22, 2018",
"Oct 23, 2018",
"Oct 24, 2018",
"Oct 25, 2018",
"Oct 26, 2018","15,244.399"
"Oct 27, 2018","15,157.295"
"Oct 28, 2018",
"Oct 29, 2018","15,015"
"Oct 30, 2018",
"Oct 31, 2018","15,308.936"
"Nov 1, 2018","15,035.653"
"Nov 2, 2018",
"Nov 3, 2018",
"Nov 4, 2018",
"Nov 5, 2018","14,769"
"Nov 6, 2018",
"Nov 7, 2018",
"Nov 8, 2018","14,798.046"
"Nov 9, 2018","15,015.021"
"Nov 10, 2018",
"Nov 11, 2018","15,119.206"
"Nov 12, 2018","14,958.434"
"Nov 13, 2018",
"Nov 14, 2018",
"Nov 15, 2018",
"Nov 16, 2018","15,504.618"
"Nov 17, 2018","15,268.824"
"Nov 18, 2018","15,469.562"
"Nov 19, 2018",
"Nov 20, 2018","15,281"
"Nov 21, 2018","15,350.998"
"Nov 22, 2018",
"Nov 23, 2018",
"Nov 24, 2018",
"Nov 25, 2018",
"Nov 26, 2018","15,160"
"Nov 27, 2018","15,230"
"Nov 28, 2018","15,271.306"
"Nov 29, 2018",
"Nov 30, 2018",
"Dec 1, 2018",
"Dec 2, 2018","15,322.872"
"Dec 3, 2018","14,769"
"Dec 4, 2018",
"Dec 5, 2018",
"Dec 6, 2018",
"Dec 7, 2018",
"Dec 8, 2018","15,215.445"
"Dec 9, 2018",
"Dec 10, 2018",
"Dec 11, 2018",
"Dec 12, 2018",
"Dec 13, 2018","15,192.557"
"Dec 14, 2018","15,340.966"
"Dec 15, 2018",
"Dec 16, 2018","14,834"
"Dec 17, 2018",
"Dec 18, 2018","15,519.571"
"Dec 19, 2018","15,230"
"Dec 20, 2018",
"Dec 21, 2018",
"Dec 22, 2018",
"Dec 23, 2018",
"Dec 24, 2018",
"Dec 25, 2018","15,294.872"
"Dec 26, 2018","15,152"
"Dec 27, 2018","15,208.915"
"Dec 28, 2018",
"Dec 29, 2018",
"Dec 30, 2018","14,721"
"Dec 31, 2018",
"Jan 1, 2019",
"Jan 2, 2019",
"Jan 3, 2019",
"Jan 4, 2019",
"Jan 5, 2019","15,056"
"Jan 6, 2019",
"Jan 7, 2019",
"Jan 8, 2019",
"Jan 9, 2019",
"Jan 10, 2019","15,223.354"
"Jan 11, 2019",
"Jan 12, 2019","15,350.696"
"Jan 13, 2019","15,337.74"
"Jan 14, 2019",
"Jan 15, 2019",
"Jan 16, 2019",
"Jan 17, 2019",
"Jan 18, 2019",
"Jan 19, 2019",
"Jan 20, 2019",
"Jan 21, 2019",
"Jan 22, 2019",
"Jan 23, 2019",
"Jan 24, 2019",
"Jan 25, 2019",
"Jan 26, 2019",
"Jan 27, 2019",
"Jan 28, 2019","15,005.646"
"Jan 29, 2019","15,082.269"
"Jan 30, 2019","15,205.746"
"Jan 31, 2019","14,989"
"Feb 1, 2019",
"Feb 2, 2019","15,287.662"
"Feb 3, 2019",
"Feb 4, 2019","15,239.046"
"Feb 5, 2019",
"Feb 6, 2019","15,083"
"Feb 7, 2019",
"Feb 8, 2019",
"Feb 9, 2019","15,276.363"
"Feb 10, 2019",
"Feb 11, 2019",
"Feb 12, 2019","15,301.536"
"Feb 13, 2019","15,358.1"
"Feb 14, 2019",
"Feb 15, 2019",
"Feb 16, 2019",
"Feb 17, 2019",
"Feb 18, 2019",
"Feb 19, 2019",
"Feb 20, 2019","15,160.278"
"Feb 21, 2019","15,127"
"Feb 22, 2019","14,968.525"
"Feb 23, 2019","15,179.701"
"Feb 24, 2019","14,650"
"Feb 25, 2019","15,254.356"
"Feb 26, 2019",
"Feb 27, 2019","15,347.785"
"Feb 28, 2019","15,009.781"
"Mar 1, 2019","15,200"
"Mar 2, 2019",
"Mar 3, 2019",
"Mar 4, 2019","14,975.763"
"Mar 5, 2019",
"Mar 6, 2019","15,327.879"
"Mar 7, 2019",
"Mar 8, 2019","15,198.482"
"Mar 9, 2019","14,892.153"
"Mar 10, 2019","15,036.61"
"Mar 11, 2019",
"Mar 12, 2019","14,867"
"Mar 13, 2019","15,114.646"
"Mar 14, 2019",
"Mar 15, 2019",
"Mar 16, 2019",
"Mar 17, 2019","15,206.304"
"Mar 18, 2019","15,070"
"Mar 19, 2019",
"Mar 20, 2019","15,085.82"
"Mar 21, 2019",
"Mar 22, 2019","15,118.331"
"Mar 23, 2019",
"Mar 24, 2019","15,245.132"
"Mar 25, 2019","15,218"
"Mar 26, 2019","15,105"
"Mar 27, 2019","15,058"
"Mar 28, 2019","15,139.436"
"Mar 29, 2019","15,216.135"
"Mar 30, 2019",
"Mar 31, 2019","15,283.922"
"Apr 1, 2019","15,136.957"
"Apr 2, 2019","15,178.744"
"Apr 3, 2019",
"Apr 4, 2019",
"Apr 5, 2019","15,238.568"
"Apr 6, 2019",
"Apr 7, 2019",
"Apr 8, 2019",
"Apr 9, 2019","15,295.221"
"Apr 10, 2019",
"Apr 11, 2019",
"Apr 12, 2019",
"Apr 13, 2019",
"Apr 14, 2019","15,116.393"
"Apr 15, 2019",
"Apr 16, 2019",
"Apr 17, 2019",
"Apr 18, 2019","15,080.968"
"Apr 19, 2019",
"Apr 20, 2019","14,973"
"Apr 21, 2019","15,103.566"
"Apr 22, 2019",
"Apr 23, 2019","15,073.746"
"Apr 24, 2019",
"Apr 25, 2019","14,958.911"
"Apr 26, 2019","14,935.479"
"Apr 27, 2019","14,998.221"
"Apr 28, 2019","14,849"
"Apr 29, 2019",
"Apr 30, 2019",
